id,name,category,brand,tags
item_231,Kurkure Playz Puffcorn Yummy Cheese Puffs,Fresh Produce 🍅,Fresh Produce,kurkure playz puffcorn yummy cheese puffs vegetables fresh
item_232,Snackible Peri Peri Ragi Chips (55 g),Fresh Produce 🍅,Fresh Produce,snackible peri peri ragi chips vegetables fresh
item_233,Bingo Original Style Chilli Potato Chips - Pack of 4,Fresh Produce 🍅,Fresh Produce,bingo original style chilli potato chips - pack of 4 vegetables fresh
item_234,Peppy Cheese Balls - Pack of 4,Fresh Produce 🍅,Fresh Produce,peppy cheese balls - pack of 4 vegetables fresh
item_235,Pringles Original Potato Chips,Fresh Produce 🍅,Fresh Produce,pringles original potato chips vegetables fresh
item_236,Kurkure Chaat Fills Crisps (Papdi Chaat Twist) (40 g),Fresh Produce 🍅,Fresh Produce,kurkure chaat fills crisps (papdi chaat twist) vegetables fresh
item_237,Wingreens Farms Butter Garlic Naan Chips (Pouch) + Wingreens Farms Garlic Dip Combo (60 g + 150 g),Fresh Produce 🍅,Fresh Produce,wingreens farms butter garlic naan chips (pouch) + wingreens farms garlic dip combo vegetables fresh
item_238,Lay's Gourmet Potato Chips - Thai Sweet Chilli Flavour - Pack of 2,Fresh Produce 🍅,Fresh Produce,lay's gourmet potato chips - thai sweet chilli flavour - pack of 2 vegetables fresh
item_239,Beyond Snack Original Style Kerala Banana Chips - Pack of 2,Fresh Produce 🍅,Fresh Produce,beyond snack original style kerala banana chips - pack of 2 vegetables fresh
item_240,Chheda's Long Masala Banana Chips (170 g),Fresh Produce 🍅,Fresh Produce,chheda's long masala banana chips vegetables fresh
item_241,Beyond Snack Peri Peri Kerala Banana Chips - Pack of 2,Fresh Produce 🍅,Fresh Produce,beyond snack peri peri kerala banana chips - pack of 2 vegetables fresh
item_242,Beyond Snack Hot and Sweet Chilli Kerala Banana Chips - Pack of 2,Fresh Produce 🍅,Fresh Produce,beyond snack hot and sweet chilli kerala banana chips - pack of 2 vegetables fresh
